barcode,name,shop,category_id,source_id,state,old_price,new_price,weight,source_url,,,image_url
,,,,,,,,,,,,https://cdn0.woolworths.media/content/wowproductimages/large/702151.jpg
,,,,,,,,,,,,https://cdn0.woolworths.media/content/wowproductimages/large/702151.jpg
,,,,,,,,,,,,https://cdn0.woolworths.media/content/wowproductimages/large/702151.jpg
,,,,,,,,,,,,https://cdn0.woolworths.media/content/wowproductimages/large/702151.jpg
,,,,,,,,,,,,https://cdn0.woolworths.media/content/wowproductimages/large/702151.jpg
,,,,,,,,,,,,https://cdn0.woolworths.media/content/wowproductimages/large/702151.jpg
,,,,,,,,,,,,https://cdn0.woolworths.media/content/wowproductimages/large/703808.jpg
,,,,,,,,,,,,https://cdn0.woolworths.media/content/wowproductimages/large/703808.jpg
,,,,,,,,,,,,https://cdn0.woolworths.media/content/wowproductimages/large/703808.jpg
,,,,,,,,,,,,https://cdn0.woolworths.media/content/wowproductimages/large/703808.jpg
,,,,,,,,,,,,https://cdn0.woolworths.media/content/wowproductimages/large/703808.jpg
,,,,,,,,,,,,https://cdn0.woolworths.media/content/wowproductimages/large/703808.jpg
,,,,,,,,,,,,https://cdn0.woolworths.media/content/wowproductimages/large/703808.jpg
,,,,,,,,,,,,https://cdn0.woolworths.media/content/wowproductimages/large/169160.jpg
,,,,,,,,,,,,https://cdn0.woolworths.media/content/wowproductimages/large/169160.jpg
,,,,,,,,,,,,https://cdn0.woolworths.media/content/wowproductimages/large/169160.jpg
,,,,,,,,,,,,https://cdn0.woolworths.media/content/wowproductimages/large/169160.jpg
,,,,,,,,,,,,https://cdn0.woolworths.media/content/wowproductimages/large/169160.jpg
,,,,,,,,,,,,https://cdn0.woolworths.media/content/wowproductimages/large/169160.jpg
,,,,,,,,,,,,https://cdn0.woolworths.media/content/wowproductimages/large/056533.jpg
,,,,,,,,,,,,https://cdn0.woolworths.media/content/wowproductimages/large/056533.jpg
,,,,,,,,,,,,https://cdn0.woolworths.media/content/wowproductimages/large/056533.jpg
,,,,,,,,,,,,https://cdn0.woolworths.media/content/wowproductimages/large/056533.jpg
,,,,,,,,,,,,https://cdn0.woolworths.media/content/wowproductimages/large/056533.jpg
,,,,,,,,,,,,https://cdn0.woolworths.media/content/wowproductimages/large/056533.jpg
,,,,,,,,,,,,https://cdn0.woolworths.media/content/wowproductimages/large/164641.jpg
,,,,,,,,,,,,https://cdn0.woolworths.media/content/wowproductimages/large/164641.jpg
,,,,,,,,,,,,https://cdn0.woolworths.media/content/wowproductimages/large/164641.jpg
,,,,,,,,,,,,https://cdn0.woolworths.media/content/wowproductimages/large/164641.jpg
,,,,,,,,,,,,https://cdn0.woolworths.media/content/wowproductimages/large/315670.jpg
,,,,,,,,,,,,https://cdn0.woolworths.media/content/wowproductimages/large/315670.jpg
,,,,,,,,,,,,https://cdn0.woolworths.media/content/wowproductimages/large/315670.jpg
,,,,,,,,,,,,https://cdn0.woolworths.media/content/wowproductimages/large/315670.jpg
,,,,,,,,,,,,https://cdn0.woolworths.media/content/wowproductimages/large/315670.jpg
,,,,,,,,,,,,https://cdn0.woolworths.media/content/wowproductimages/large/315670.jpg
,,,,,,,,,,,,https://cdn0.woolworths.media/content/wowproductimages/large/315670.jpg
,,,,,,,,,,,,https://cdn0.woolworths.media/content/wowproductimages/large/315670.jpg
,,,,,,,,,,,,https://cdn0.woolworths.media/content/wowproductimages/large/233567.jpg
,,,,,,,,,,,,https://cdn0.woolworths.media/content/wowproductimages/large/233567.jpg
,,,,,,,,,,,,https://cdn0.woolworths.media/content/wowproductimages/large/233567.jpg
,,,,,,,,,,,,https://cdn0.woolworths.media/content/wowproductimages/large/233567.jpg
,,,,,,,,,,,,https://cdn0.woolworths.media/content/wowproductimages/large/233567.jpg
,,,,,,,,,,,,https://cdn0.woolworths.media/content/wowproductimages/large/233567.jpg
,,,,,,,,,,,,https://cdn0.woolworths.media/content/wowproductimages/large/164646.jpg
,,,,,,,,,,,,https://cdn0.woolworths.media/content/wowproductimages/large/164646.jpg
