Barcode,Name,Shop,Category_id,Source_id,State,Old_price,New_price,Old_per_unit,New_price_per_unit,Weight,Source_url,Image_url
9369998238545,Coles Large Grapefruit Ruby Red | approx. 380g,coles,22356,5323153,ACT,209,209,550,550,380g,https://www.coles.com.au/product/coles-large-grapefruit-ruby-red-approx.-380g-5323153,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F5%2F5323153.jpg&w=640&q=90
9369998238545,Coles Large Grapefruit Ruby Red | approx. 380g,coles,22356,5323153,NT,148,148,390,390,380g,https://www.coles.com.au/product/coles-large-grapefruit-ruby-red-approx.-380g-5323153,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F5%2F5323153.jpg&w=640&q=90
9300601213627,Coles Leeks Loose | 1 Each,coles,22383,4595930,VIC,290,290,290,290,1each,https://www.coles.com.au/product/coles-leeks-loose-1-each-4595930,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F4%2F4595930.jpg&w=640&q=90
9300601213627,Coles Leeks Loose | 1 Each,coles,22383,4595930,NSW,290,290,290,290,1each,https://www.coles.com.au/product/coles-leeks-loose-1-each-4595930,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F4%2F4595930.jpg&w=640&q=90
9300601213627,Coles Leeks Loose | 1 Each,coles,22383,4595930,QLD,290,290,290,290,1each,https://www.coles.com.au/product/coles-leeks-loose-1-each-4595930,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F4%2F4595930.jpg&w=640&q=90
9300601213627,Coles Leeks Loose | 1 Each,coles,22383,4595930,WA,350,350,350,350,1each,https://www.coles.com.au/product/coles-leeks-loose-1-each-4595930,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F4%2F4595930.jpg&w=640&q=90
9300601213627,Coles Leeks Loose | 1 Each,coles,22383,4595930,SA,,250,,250,1each,https://www.coles.com.au/product/coles-leeks-loose-1-each-4595930,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F4%2F4595930.jpg&w=640&q=90
9300601213627,Coles Leeks Loose | 1 Each,coles,22383,4595930,TAS,,290,,290,1each,https://www.coles.com.au/product/coles-leeks-loose-1-each-4595930,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F4%2F4595930.jpg&w=640&q=90
9300601213627,Coles Leeks Loose | 1 Each,coles,22383,4595930,ACT,290,290,290,290,1each,https://www.coles.com.au/product/coles-leeks-loose-1-each-4595930,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F4%2F4595930.jpg&w=640&q=90
9300601213627,Coles Leeks Loose | 1 Each,coles,22383,4595930,NT,250,250,250,250,1each,https://www.coles.com.au/product/coles-leeks-loose-1-each-4595930,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F4%2F4595930.jpg&w=640&q=90
9300601164257,Coles Red Onion 1 Kg | 1kg,coles,22383,8467604,VIC,550,550,550,550,1kg,https://www.coles.com.au/product/coles-red-onion-1-kg-1kg-8467604,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F8%2F8467604.jpg&w=640&q=90
9300601164257,Coles Red Onion 1 Kg | 1kg,coles,22383,8467604,NSW,390,390,390,390,1kg,https://www.coles.com.au/product/coles-red-onion-1-kg-1kg-8467604,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F8%2F8467604.jpg&w=640&q=90
9300601164257,Coles Red Onion 1 Kg | 1kg,coles,22383,8467604,QLD,400,400,400,400,1kg,https://www.coles.com.au/product/coles-red-onion-1-kg-1kg-8467604,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F8%2F8467604.jpg&w=640&q=90
9300601164257,Coles Red Onion 1 Kg | 1kg,coles,22383,8467604,WA,500,500,500,500,1kg,https://www.coles.com.au/product/coles-red-onion-1-kg-1kg-8467604,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F8%2F8467604.jpg&w=640&q=90
9300601164257,Coles Red Onion 1 Kg | 1kg,coles,22383,8467604,SA,,550,,550,1kg,https://www.coles.com.au/product/coles-red-onion-1-kg-1kg-8467604,https://www.coles.com.au/_next/image?url=https%3A%2F%2Fcdn.productimages.coles.com.au%2Fproductimages%2F8%2F8467604.jpg&w=640&q=90
